24,ResponseId,Q79,Q32,,Q22,Q22_23_TEXT,*********,Q29,Q29_12_TEXT,Q55,Q50,Q50_4_TEXT,Q56#1_1,Q56#1_2,Q56#1_3,Q56#1_4,Q56#1_5,Q56#1_6,Q56#1_7,Q56#1_8,Q56#1_9,Q56#1_10,Q56#1_11,Q61,Q57#1_1,Q57#1_2,Q57#1_3,Q57#1_4,Q57#1_5,Q57#1_6,Q57#1_7,Q57#1_8,Q57#1_9,Q57#1_10,Q57#1_10_TEXT,Q62,Q67,Q67_5_TEXT,Q68,Q69,Q70,Q46,Q47,Q48,Q58,Q59,Q60,CODING,RESEARCHER,Q71,Q70,Q71,Q74,Q75,Q49,Q44,Q51,Q52,Q52_11_TEXT,Q78,Q27
5/10/2021 16:15:05,R_27kViItWybDSzd8,removed for now,removed for now,,"Chemistry,Life Sciences",,Professional,Faculty,,,First generation to college (no parent/guardian in the household is a college graduate),,0,0,0,0,0,0,0,2,"1,2",0,0,covid travel restrictions have made it difficult for me to spend time with my spouse,0,0,0,0,2,0,0,0,"2,3",,,,"Yes, explicitly mentioning COVID-19",,"Lots of communications via email, but none of it has been at all helpful","Confused.  The communications did not provide any specific, useful information or any guidance on how to continue performing my job function","Deleted it, ignored it, and tried to keep doing my job as usual",Notices about members of the campus community testing positive for covid,Annoyed.  The communications did not provide any specific information and did not give any information about actions that could be taken by other members of the campus,"Deleted it, ignored it, and tried to keep doing my job as usual",Conversations with faculty and staff about how to perform our job duties in an online environment,Frustrated,Ignored it and tried to keep doing my job as usual,Not Supported,Ali,"Specific information and guidance on how to perform my job in an online environment, or how to perform my job on campus and maintain personal health and safety",CHANGED,I've decided to keep my current job because there are few jobs available and many out of work scientists,Somewhat,I have decided to focus on one project that seems most fundable,Man,No,Heterosexual or straight,White,,,Submit
4/30/2020 8:23:37,R_27kZ1MFyzw7DTuv,removed for now,removed for now,,Life Sciences,,Student,Undergraduate,,Genetic Counseling M.S.,None of these,,0,2,1,1,2,1,2,2,2,0,0,,2,2,2,2,2,2,2,2,2,New issue due to COVID-19,Feeling a lack of accomplishment about graduating this year,"This robbed me of my last couple months at the school I considered to be my home, and made it so I could not spend these last several months with people that became my family - some I may never see again, because they are international students. ","Yes, explicitly mentioning COVID-19",,Tech has been slow to release info about our eCeremony for commencement. ,It stresses me out to be constantly bombarded with info about COVID-19. I feel hopeless and discouraged and angry.,Stopped reading the emails all t he way through. ,Tech has been slow to release info about our eCeremony for commencement. ,It stresses me out to be constantly bombarded with info about COVID-19. I feel hopeless and discouraged and angry.,Stopped reading the emails all t he way through. ,"My professors through email and zoom, as well as the Registrar via email.",My professors have been very supportive of us students through all of this. The registrar was useless and only made me feel worse. ,Stopped reaching out to the registrar because she only makes the situation worse. ,Not Supported,Ali,How our online graduation commencement ceremony is going to work.,CHANGED,"All of the places I have applied are currently on a hiring freeze, and since I need a job I applied at a donut shop. I will have a BS in Biology from NMT and will be selling donuts. ",It has changed my plans,I wont be able to do any research because NO ONE IS HIRING,Woman,No,Bisexual,White,,My mental health has gone to hell. I feel isolated and robbed of the end of my senior year of college. I did not get to say my goodbyes. I have no closure. I cry everyday because of what this has taken from me. ,Submit
6/23/2021 15:01:41,R_27lDcMeRdZJaRpk,removed for now,removed for now,,Life Sciences,,Student,First-year graduate student,,currently enrolled in M.S. program ,None of these,,0,0,0,0,0,"1,2",0,2,2,0,0,,2,0,0,0,2,"1,2",0,0,2,,,,"Yes, explicitly mentioning COVID-19",,Just relatively consistent updates and reminders on the University's policies and stance regarding the pandemic. Mostly about whether classes would continue being online or inperson or hybrid in the upcoming semesters,"When we continued to keep things socially distanced, I was stressed as a whole but also relieved  that they were taking things seriously. I felt anxious when they announced we would be going back to in-person classes as of Fall because it is going to be a big change to go back now. ",nothing in particular ,"nothing in particular, perhaps maybe the daily check-in reminders we ""had"" to do if returning to campus during the Fall, but only because I was not going back to campus at all so I did not need to do these","I felt glad that they were sending reminders out, but I ignored them because they did not apply to me ",I ignored the communications ,Discussions with faculty and coworkers on how to best work around the obstacles we were facing. this more so happened in the Spring time when we were occasionally back on campus in person (twice a week) and we could discuss how miserable the Fall had been ,"It felt good to talk through things with others after telecommunicating for so long, which made it harder for certain emotions to be expressed (like commiseration wasn't as good virtually)",I continued to seek out opportunities to engage with peers and faculty in my department ,Not Supported,Ali,I want to know if my University will be requiring vaccines for incoming students (I am vaccinated and will be teaching students in person) ,NO CHANGE,I am a first year M.S. student and I'm unsure of what I will do post-grad so that has not changed ,Somewhat,"A lot of my research is field work, outside, in small groups so that has not been impacted. However, I have not been able to participate in other collaborative work as much as I expected because so many things have slowed down. ",Woman,No,Heterosexual or straight,White,,"I am not in medicine (I am in ecology) but my partner, whom I live with, is a doctor, and him having to work through COVID while I started grad school was extremely difficult because of the mental and emotional toll it put on him. ",Submit
4/11/2021 13:57:41,R_27m6xtDCv4clgbq,removed for now,removed for now,,"Life Sciences,Mathematical Sciences",,Professional,Faculty,,,"Near-first generation to college (a parent/guardian is a college graduate, but you had little to no exposure to information about how to succeed in college)",,0,3,0,0,2,2,0,1,0,2,0,Childcare was probably the main issue throughout the past year. Housing has become an issue in that we are trying to buy our first home and housing prices have skyrocketed since the pandemic started.,0,0,0,0,2,0,0,0,2,,,,"Yes, explicitly mentioning COVID-19",,Resources for online teaching. Vaccine and testing access.,The University is doing everything it can to accommodate the impact on work. I appreciate the effort.,I made testing and vaccination appointments. Contacted individuals for help to develop coursework online.,I'm getting constant emails about covid. Most of these emails are not informative relative to past emails. I end up ignoring most of them.,I found it to be a nuisance.,I delete most of the email about covid from my inbox.,Almost all of my communication has been through zoom during work hours.,Terrible. I started my job this summer and have not been able to have any casual socializing with my new colleagues. This is compounded by limited childcare access.,I have tried to make formal appointments to talk to old friends and new colleagues but I've found it quite difficult to overcome the formality of zoom when I'm new.,Not Supported,Ali,I don't think any of my missing resources are about access to information.,NO CHANGE,,It has changed my plans,I was planning on having people and to work on projects much sooner but it has been very difficulty to recruit students without having many opportunities to meet them. I think it likely has altered my ability to form collaborative relationships with my colleagues and recruit students. I have had to think very small in terms of my research program.,Man,No,Heterosexual or straight,"Asian,White",,,Submit
5/13/2020 11:20:54,R_27QD42zwJFoZrSA,removed for now,removed for now,,Life Sciences,,Professional,Faculty,,,"First generation to college (no parent/guardian in the household is a college graduate),Attended community college",,0,0,0,0,0,0,0,2,2,0,2,,2,0,0,0,2,0,0,0,0,,,,"Yes, explicitly mentioning COVID-19",,contingency plans,as if we are fairly well prepared for an uncertain future,nothing,nothing,no difference,nothing,communication with dean and other faculty members,like we are planning for an uncertain future,began planning for teaching either online or in a hybrid environment,Not Supported,Ali,will there be on campus classes in the fall,CHANGED,,Somewhat,,Man,No,Heterosexual or straight,White,,,Submit
3/28/2021 7:28:36,R_27QlqdO5rlSxqmA,removed for now,removed for now,,"Geosciences,Life Sciences",,Professional,Faculty,,,"Near-first generation to college (a parent/guardian is a college graduate, but you had little to no exposure to information about how to succeed in college)",,0,0,1,0,0,0,0,0,0,0,0,IVF,0,0,0,0,0,0,0,0,0,,,,"Yes, explicitly mentioning COVID-19",,Full surveillance testing,Great. GT stepped up,Testing ,HR- paying employees who cannot work,Frustrated ,Complain. But not much to do. ,Several small town halls/impact sessions,I feel like they are trying. ,I felt I should let others who were more impacted use this time,Not Supported,Ali,None. ,NO CHANGE,,Somewhat,"Several no cost extensions on several grants, reduced productivity from some personnel. It allowed me to get out a lot of papers, but it set back field work ",Woman,No,Heterosexual or straight,White,,,Submit
4/30/2020 10:28:08,R_27rNfPXAwu4mY6I,removed for now,removed for now,,Engineering,,Professional,Faculty,,,None of these,,0,0,0,0,2,0,0,2,0,2,0,,0,0,0,0,"2,3",0,0,0,2,,,,"Yes, explicitly mentioning COVID-19",,"Good to know the institution's response. Some information about online teaching was provided, but we only had about a week to transition. Additionally, transition happened after we had lost access to daycare. Both parents work in our home, so transition has been difficult.","Fine. I've appreciated regular updates from the University, but they haven't really helped me in any way.","Transition classes online, work from home because that is what the University has asked us to do.","I like to be informed, so most information has been appreciated, even if it is not helpful. ",Fine.,Nothing specific. I do relay some of this information to students (advisees and those in my research lab) because they either don't receive it or they don't read their emails.,"We have regular online meetings--with students in my classes, advisees, students doing research, my department, etc. Most activities are continuing, even though we are completely online.",Fine.,"Nothing has really changed here. I continue with my job. However, the time I have to work is limited, and many nights I stay up late working on things that I cannot work on during the day.",Not Supported,Ali,"Nothing really. I'd like to know what we will be doing next semester, but this has not been decided yet.",CHANGED,,Somewhat,,Woman,No,Not listed above,White,,I'm interested to see how this plays out when people are evaluated. Some faculty that don't have kids or have a spouse that can take care of them are likely more productive now because there are fewer distractions. Faculty with kids where both parents work are having a much harder time and are likely going to have a drop in productivity. What will happen if there are layoffs after the pandemic? Or during if it lasts &gt;1 year?,Submit
4/15/2020 21:18:48,R_27UL3efRa6G1sQd,removed for now,removed for now,,Chemistry,,Student,Graduate student (second-year or above),,Ph.D.,None of these,,0,0,0,2,0,1,0,2,0,0,0,,0,0,0,0,2,2,2,0,0,,,,"Yes, explicitly mentioning COVID-19",,Nothing has been meaningfully helpful.,"Angry. I felt that the university was out of touch with the ways that the pandemic is impacting/will impact graduate students financially and in terms of mental health. The university seemed to only care about the impact to their own financial/prestige situation given that research would not be carried out for an unspecified amount of time. They did not acknowledge that research is performed by graduate students, who are considered to be interchangeable as new classes enter.",Stopped engaging with any university communications because I was too disgusted to read any of it.,"Most of the communication has been unhelpful. It took a couple weeks after the university acknowledged the impact to undergrads for the university to put out an FAQ for graduate students. But the answers to every question were some variation of ""we don't know,"" or ""it's too soon to tell."" The university extended the tenure clock for faculty but claims it is too soon to assess the impact on time to degree for graduate students, despite the fact that none of us can work in lab for the duration of the shut down.

Their communications about mental health and maintaining productivity have been an additional slap in the face, since the university does not acknowledge in any way the impact that their actions and policies have in these respects.","Angry, for the same reasons I describe before.",I stopped reading any of it.,Phone and video chats with friends and family.,"Validated, because my friends and family understood why I was angry.","Nothing, I just felt a bit better.",Not Supported,Ali,"What happens if I can't find a job after I graduate in three weeks because interviews were pushed back as the situation developed and then we enter a global economic depression?

How will this impact my career? I have already been unable to attend to conferences that I was supposed to be speaking at, which would have been really valuable networking opportunities.",CHANGED,"I have had to put my postdoc interviews on indefinite hold. The way my advisor, department,  and institution have handled this pandemic makes me seriously reconsider my decision to pursue an academic career.",It has changed my plans,I had been trying to finish a project before my graduation. Now it has been put on hold. This would have been a very impactful publication for my career.,Woman,No,Gay,White,,,Submit
6/13/2021 10:31:57,R_27VkqAfRW2u0hYh,removed for now,removed for now,,Life Sciences,,Professional,Faculty,,,None of these,,0,0,1,0,2,2,0,2,2,0,0,,2,0,0,0,2,0,0,0,2,,,Major inability to complete my job expectations due to COVID,"Yes, explicitly mentioning COVID-19",,Very little helpful information. University policies rarely focused on research impact (the majority of my employment/tenure expectations). The university released changes to policy to faculty at the same time as all members of the university (including undergraduates) and often did not clearly define policy.,"Scrambling--we faculty would get a flurry of questions about the impact of communications, but rarely had any information to answer these questions. This left me more stressed than if there was no information.",Come up to my own plans. Essentially create my own lab policies because the university would not provide clear guidance.,"Lots of non-information. E.g. we are looking at things but not any insights into decision making. Even worse: ""we value you so much"" while a the same time being furloughed.","Ignored. I feel like a pawn that only matters when I provide money to the university, not as a ""valued employee"" who was ""so critical"" to the university",Ignored further communications more. Consider applying for positions at other universities,"So so many conversations about impacts to teaching, research, service, etc.","Most conversations left me with a more negative feeling about what I have been able to accomplish. For example, comments from senior faculty (who vote on my tenure) about how they haven't had much impact from covid makes me feel like my position at the university is even more in peril because I did have major impacts.","Nothing. I am so debilitated by my emotional state right now, this only further emphasized how overwhelmed and underwater I am",Not Supported,Ali,"Actual clear policies (e.g. re: mask wearing in research labs: ""if the lab manager has information about vaccine status, they can chose to make a decision about mask policy""). A clear discussion of how reappointment and tenure decisions will be affected by COVID",CHANGED,,Somewhat,"directly delayed publications, grants. Instigated conversations about what happens if my tenure is denied due to negative impacts of covid",Woman,No,Heterosexual or straight,White,,,Submit
6/7/2021 12:19:35,R_27xjEc2l82ZxLV8,removed for now,removed for now,,Engineering,,Professional,Employee (including Postdoctoral Scholars),Adjunct Instructor of Mechanical Engineering,M S Mechanical Engineering,None of these,,2,,2,0,2,2,0,0,2,0,0,,2,2,2,0,2,0,0,2,0,,,,"Yes, explicitly mentioning COVID-19",,E-mails and campus wide zoom meetings detailing classroom protocols and explaining why they were implemented.  ,Informed yet not completely satisfied concerning all protocols.,Followed the protocols because they were a requirement for teaching in the classroom.  ,Told that operations would return to normal for the campus in the coming semester if vaccinated and now have been told that we will require masks in buildings.  ,I feel cheated that I complied to university requests to be vaccinated and will still be required to wear a mask which I feel reduces the classroom experience for me and my students.  ,"I contemplated not teaching in the fall; however, that would be a greater disservice to the students who have enrolled.  ",N/A,N/A,I have elected to comply but will not commit to teach in the spring if the mask mandate will remain.  ,Not Supported,Ali,N/A,CHANGED,,,,Man,No,Heterosexual or straight,"American Indian or Alaska Native,White",,,Submit
3/25/2021 10:23:03,R_27y5GeDifb9UwVg,removed for now,removed for now,,"Computer and Information Science and Engineering,STEM Education and Learning ",,Professional,Faculty,,,None of these,,0,0,1,0,1,0,0,2,0,0,0,,0,0,0,0,1,0,0,0,0,,,,"Yes, explicitly mentioning COVID-19",,"As staff member and adjunct faculty member, the most important things have been information about plans, expectations, technologies available, and other similar things (largely logistical in nature).",I suppose it made me feel somewhat less adrift.,"My job + lots of additional projects that needed to happen to keep things running smoothly. In several cases there were projects my department needed to make happen ASAP to keep things running for students, IT wasn't able to do these things for us quickly enough (because they were slammed with other things) and I am the only one in the department with the knowledge and experience to make these things happen.","The only real negatives I can think of are 1) for a brief period the university was putting ""official"" announcements in a daily email newsletter that has always been something we would read at our leisure (or skip entirely), and 2) early on (e.g. late Spring 2020) there were a few important announcements that were sent to students long before anyone thought to let staff and faculty know. So I'm getting questions from students about something I know absolutely nothing about.",Frustrated.,Ask my boss to pass up to the administration that we needed better communication from them.,"For the last year I have been completely ALL of my daily job duties remotely, so I have been interacting remotely (via phone & Teams) with almost all of my immediate coworkers & most of the students I would normally deal with. What has gotten lost is all of the extra social interactions (e.g. people I would see and chat with in the hall or my office) and it is VERY difficult to connect with students in the classroom.",Grateful that I can keep doing my full-time job. Frustrated that teaching is now like talking to the wall.,My job.,Not Supported,Ali,"When I will be expected to starting working back in the office. If we will be allowed to split time between remote and in-person work. What kind of PPE and other restrictions will be required, and once I'm seeing students face-to-face in my office again, will I be allowed to require students to wear a mask?",NO CHANGE,"I'm not planning to change jobs, but I have considered taking some classes to get more skills, certifications, etc. to make myself more marketable should I need to look for work. ",Somewhat,I normally work in a specific geographical location which limits my scope to primarily focus on students who want to attend that location. Since we've been online I have been working with a much broader range of students. I have also been given quite a few more projects.,Man,No,Heterosexual or straight,White,,,Submit
6/25/2021 5:56:08,R_28IZQd2Ss9Tx2jU,removed for now,removed for now,,Chemistry,,Professional,Faculty,,,"Near-first generation to college (a parent/guardian is a college graduate, but you had little to no exposure to information about how to succeed in college)",,0,0,0,0,0,2,0,2,2,2,2,,0,0,0,0,0,0,0,2,2,,,,"Yes, explicitly mentioning COVID-19",,Lots of emails,"Not offering real solutions, looked like just pretending and covering asses with these messages.",Took care of problems by myself or had to learn to live with them.,"Teaching resources, no personal touch or effective training, had to figure out everything on my own. Bunch of videos to watch (as if there are not a gizillion already), not well prepared either. Waste of time, frustrating.",Frustrated.,"Central emails coming from upper administration, so did nothing, no time.","Meetings, exchange of thoughts at useless meetings",Frustrated.,Stopped attending these COVID meetings as there was no useful info shared.,Not Supported,Ali,updates on campus related to the current pandemic situation.,CHANGED,,It has changed my plans,,Woman,No,Heterosexual or straight,White,,,Submit
6/25/2021 9:01:08,R_28YzKhz77g6f0t5,removed for now,removed for now,,"Life Sciences,STEM Education and Learning ",,Student,Graduate student (second-year or above),,Ph.D. in Entomology,None of these,,2,,"1,2",1,0,"1,2",0,2,2,0,0,My mental health suffered significantly from COVID which was made worse by lack of mental health resources on the satellite campus I work on. ,0,2,0,0,2,2,0,0,2,,,,"Yes, explicitly mentioning COVID-19",,Most communications related to COVID from my institution either had no effect on me or was detrimental.,"Annoyed, because no useful information was given.",I organized and/or attended meetings so the graduate students could communicate our needs. ,"A ""planning form"" that took hours to complete which took time out of what I actually needed to be doing and had no bearing on my research except that the administrators said they were worried so they gave us more work.",I felt angry and belittled. They didn't ask us what would help beforehand nor did they approach us by telling us they were concerned. I didn't feel like they were listening to us.,"Organized and/or attended meetings to communicate the student needs, and filled out the form.","My graduate advisor, virtually and through phone. ",I felt supported because my advisor listened and discussed my concerns with me.,I did what we discussed so I could feel useful.,Not Supported,Ali,I'm waiting for information about the variants,CHANGED,,It has changed my plans,,"Genderfluid, Genderqueer, or Gender Non-conforming",No,Pansexual,White,,,Submit
7/15/2021 12:49:30,R_293VH1e3AfGAqkh,removed for now,removed for now,,"Computer and Information Science and Engineering,Mathematical Sciences,STEM Education and Learning ",,Student,Graduate student (second-year or above),,Ph.D.,Attended community college,,0,0,"1,2",0,1,"1,2",0,0,2,0,0,,2,2,2,0,2,1,0,2,1,,,,"Yes, explicitly mentioning COVID-19",,"What is open
Policy for unsafe student behavior
Online setup and training
Covid campus stats","Tired. It was still a lot, often a bit late to be useful.","Training. 
Strike",NA,NA,NA,Training. Chat about Good policy. Largely with peers and coordinators,"Ok, it took time. Probably helped cope with the madness",NA,Not Supported,Ali,"What classes are in person
Childcare policy
Vaccination of student body
Policy for dealing with unsafe students
Hiring for international students with travel restrictions",CHANGED,I'll probably graduate later. My advisor had to change.,Somewhat,Order of research vs core classes changed,Man,No,Heterosexual or straight,White,,,Submit
6/5/2021 3:47:17,R_2b1y9AixpGOcr9Q,removed for now,removed for now,,"Chemistry,Materials Science",,Student,Graduate student (second-year or above),,Ph.D.,"Near-first generation to college (a parent/guardian is a college graduate, but you had little to no exposure to information about how to succeed in college)",,0,0,0,0,2,0,0,2,2,0,0,,2,1,0,0,"1,2",1,0,0,"1,2",,,,"Yes, explicitly mentioning COVID-19",,Pretty much nothing my university sent has been helpful,The university let me down,Nothing,Nothing,N/A,N/A,I’ve had conversations about my new work conditions with my supervisor,I felt reassured by the conversations,No direct action,Not Supported,Ali,Whether the university will mandate a vaccine for enrolling in classes,CHANGED,,Somewhat,,Man,No,Heterosexual or straight,Asian,,,Submit
6/25/2021 15:23:18,R_2B2IjiM9YXMF80i,removed for now,removed for now,,Computer and Information Science and Engineering,,Student,Graduate student (second-year or above),,Ph.D.,None of these,,0,0,0,0,"1,2","1,2",0,1,"1,2",0,0,I was already feeling crappy about grad studies; has gotten worse since my research group went remote and basically stopped collaborating.,"1,2","1,2",0,0,2,0,0,0,0,,,"But as a result of going remote I moved across the country, plan to drop out, and easily found a new job.","Yes, explicitly mentioning COVID-19",,Lots of updates with policies and statistics... but honestly a VERY high noise-to-signal ratio.,Meh. Princeton is big and bureaucratic... not sure how they could help my individual situation.,Nothing.,"Statistical updates, things particular to undergrads, things particular to on-campus students.",Overwhelmed by volume.,I just deleted it all.,Just meetings with my advisor.,Bad. We never make any progress.,I'm dropping out. Yay!,Not Supported,Ali,"Nothing, I'm out.",CHANGED,I'm abandoning my degree and going into industry!,Somewhat,"My internship is ""remote"" (i.e. non-existent).",Man,No,Heterosexual or straight,White,,,Submit
5/26/2021 0:15:45,R_2BbtlRj2tHvFG3A,removed for now,removed for now,,Life Sciences,,Professional,Faculty,,,Attended community college,,0,2,2,0,2,2,2,2,2,2,2,,2,0,0,0,2,0,0,2,2,,,,"Yes, explicitly mentioning COVID-19",,"Guidelines about the pandemic. It took a while to get things going, but they were able to figure things out better over time. ","In the beginning of the pandemic (first 6 months), I felt like things were very disorganized and the policies didn't make sense. For example, all classes had to be online, however, my field has to have hands-on learning. I don't think the institution cared about the level of teaching. ",Asked questions and try to do things in a different way. ,Information that did not match with the science coming out of the CDC. ,Frustrated. ,Pushed back and try do do things in a different way. ,Division chair and other faculty. ,na,na,Not Supported,Ali,"There is no clear policy about the mask mandate. The state is requiring masks, but the CDC says it is okay not to use one if you are fully vaccinated in most circumstances. ",CHANGED,"I fell behind, in terms of getting things accomplished. ",Somewhat,I had some prefects that required travel and those were canceled. ,Woman,No,Decline to state,Hispanic or Latinx,,"The most frustrating thing about covid was being my child not attend school. This should not have happened. It makes no sense that the schools in my area closed down, and many are still online today. ",Submit
6/6/2021 16:38:11,R_2bHoSEfAonK48ZL,removed for now,removed for now,,Psychology,,Professional,Faculty,,,None of these,,0,0,0,0,0,2,0,2,2,0,0,"For instance, I just missed my mom's 90th birthday.",0,0,0,0,"1,2",2,2,2,0,,,,"Yes, explicitly mentioning COVID-19",,Constant updates via email,Much of it neglects any respect for impact on adjuncts.,There really is nothing I can do.,Pandering about how much admin cares.,Disenfranchized.,Not much can be done. ,"We've had dozens of conversations, both official and personal. This question is too nebulous.",See above.,"Well, I got a job teaching distance at another institution to supplement my losses.",Not Supported,Ali,Unknown,CHANGED,I am no longer applying to new positions in other regions.,It has changed my plans,I definitely have not done work on gathering data about group participation for my study.,Man,No,Heterosexual or straight,Other (write-in),"""White"" is offensive, how about European?",,Submit
5/24/2021 10:33:16,R_2BkPOGZa9cnJqrP,removed for now,removed for now,,Psychology,,Student,Graduate student (second-year or above),,Ph.D.,Attended community college,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,,,,"Yes, explicitly mentioning COVID-19",,Updates in university policies and community resources for anyone in need.,"Safe and confident, because it was clear the university was keeping up-to-date with the issue and doing everything they could to help students.",Stay/work from home and not go to campus unless I absolutely had to. I knew they would communicate when it would be appropriate to return.,There was some inconsistencies and delays with implementation of some things (like making the decision about class platforms being offered).,Annoyed and stressed because I wanted to plan out my semester and was not able to do so until last minute. ,Nothing. There was nothing I could do but wait.,Conversations about safety and the impact COVID was having on us. Usually with professors during class.,"At first I appreciated it, but as time went on it just made me feel stressed because I did not want to talk/think about COVID any longer. Obviously, it was/is still a concern, but after a couple of months I wanted some sense of normalcy and constantly talking about it just brought unnecessary anxiety.","I stopped participating in the conversation so that we could more quickly get to the class material because I wanted to focus on my learning, not on COVID.",Not Supported,Ali,None.,NO CHANGE,,Somewhat,"It messed up the amount of clinical hours we were able to earn (we went a couple of months without being able to do therapy and assessments), which down the road is going to have an impact on internship applications. It seems like most internship sites will be taking that into consideration but it is still a concern.",Woman,No,Heterosexual or straight,White,,"I think the way COVID has been handled overall created mass-panic, which was reflected at the university level. Things have been so inconsistent and vacillating in answers/responses/etc. that it created a sense of insecurity, fear, and anxiety. People went for months without access to mental health care, and many are still unable to obtain care, despite mental health concerns significantly increasing due to COVID. I am looking forward to more stability and timely decision-making by universities. ",Submit
3/4/2021 13:22:24,R_2bPPJXJneAzFjXg,removed for now,removed for now,,"Life Sciences,Social Sciences (includes law and policy)",,Student,Graduate student (second-year or above),,Graduate Certificate,None of these,,0,0,0,0,2,"1,2",0,0,0,0,0,,0,0,0,0,2,0,0,0,2,,,,"Yes, explicitly mentioning COVID-19",,Guidance on entering buildings and expectations for return to work,"There are still a lot of unresolved issues, expectations continue to shift",Talk with team members about their ideas and questions,"Pause / slow down in decisions about programmatic changes, training opportunities, and personnel advancement","Undervalued, and my team undervalued",Communicated with team about uncertainty,Webinars and meetings with management about ongoing COVID guidance,Confused and as though programs are still paused / uncertain,Talked with team members about uncertainty,Not Supported,Ali,Opportunities for continued training and professional development that my team can take advantage of,CHANGED,"I would like to move to a smaller, more issue-focused organization to work on projects that implement science communication and community engagement rather than operate at higher-level / training",It has changed my plans,"Funding for projects has dried up, some projects have been extended",Woman,No,Bisexual,White,,,Submit
7/15/2021 20:21:02,R_2BrI0Rs5MR1NXdb,removed for now,removed for now,,Physics and Astronomy,,Student,Undergraduate,,,None of these,,0,0,0,0,0,2,0,0,0,0,0,,1,0,0,0,2,0,0,0,0,,,,"Yes, explicitly mentioning COVID-19",,N/a,N/a,N/a,Pitt had been very vague about what our semesters would look like,Unsure,N/a,N/a,N/a,N/a,Not Supported,Ali,Information regarding fall 2021,NO CHANGE,I have an internship that can easily be completed remotely,,,Woman,No,Heterosexual or straight,White,,"In a way, COVID has increased my physics self efficacy. I completed my classical mechanics course without the stereotype threat I felt in all of my previous classes. I believe that being online allowed me to better focus on my work and my abilities",Submit
3/15/2021 13:50:45,R_2Bs1qMJBhQzYSFn,removed for now,removed for now,,Life Sciences,,Professional,Employee (including Postdoctoral Scholars),,,None of these,,2,,2,0,"1,2","1,2",2,2,0,0,0,,3,0,0,0,"2,3","1,2,3",0,0,2,,,Some things were issues before that have been made into worse issues due to COVID.,"Yes, explicitly mentioning COVID-19",,email,"It feels good to get some information, it makes it feel like they remember we are desperate for information.",I always read it (opposed to other university emails that I sometimes delete without reading),Posters printed in the hallways generally have lacked information that is useful other than providing reminders.,It is a little annoying because it feels like they could include important information that is specific to our university but they defer to condescending reminders about handwashing.,I post them when/where they are required to be posted but generally ignore them.,Virtual meetings and in-person when in the lab.,"Virtual meetings can feel very long, they feel like they drag on. This could be because some people want to continue talking while others have additional demands on their time.",I am physically present but sometimes distracted.,Not Supported,Ali,I am waiting to understand why I am an essential worker but do not qualify for any type of vaccine level other than the one based on my age in the general public.,CHANGED,,Somewhat,,Woman,No,Heterosexual or straight,White,,,Submit
4/17/2020 7:13:03,R_2bUi4zD1C69XhRt,removed for now,removed for now,,"Engineering,Other",Construction,Professional,Employee (including Postdoctoral Scholars),,,None of these,,0,0,0,0,0,0,0,0,0,2,2,,0,0,0,0,0,0,0,2,2,,,,"Yes, explicitly mentioning COVID-19",,Continual updates and information shared on the topic with many resources noted. ,I feel a bit more at ease. ,Supplemented with my own research from credible sources. ,N/A,"I feel informed, yet anxious of how the return to a “normal” life will occur. ",Relayed information that I felt was relevant with family and friends. ,"All meetings are virtual which consumes much of my time. However, not all information is as readily available. Additionally, the remote setup is very inefficient and I do not feel as productive. ",N/A,N/A,Not Supported,Ali,How and when the return to “normal” operations for myself and my children to school will be. ,CHANGED,I have given more thought to pursuing additional post-graduate education. ,Somewhat,,Man,No,Heterosexual or straight,Hispanic or Latinx,,,Submit
5/15/2021 11:47:15,R_2BxHJgEJmvODwZz,removed for now,removed for now,,Computer and Information Science and Engineering,,Student,Graduate student (second-year or above),,Ph.D.,None of these,,0,0,0,0,"2,3","2,3",0,0,"2,3",0,0,Im not exactly sure what “cannot access resources” means. I know there are resources i can access but they are too much trouble and i dont have the time,"1,2",2,"1,2,3",0,"2,3",0,2,2,"2,3",,,,"Yes, explicitly mentioning COVID-19",,Recorded lectures and reminders of covid teat requirements ,I feel like they treat me like a kid. Graduate students are employees in terms of responsibilities and undergrads in terms of rights and respect,pay attention to testing reminders ,Excess of info creates a barrage,Respect my time and only tell me what i need to know,Ignore most of it,Ive talked with my advisor about the stare of things and what stuff will be like next semester and ive commiserated with fellow students,"Usually better afterwards, or at least that my advisor is on my side",Adjust my expectations and plans,Not Supported,Ali,What are the plans for next semester?,CHANGED,It may have slowed down my graduate school process and made me take another year,It has changed my plans,Slowed all projects down,Man,No,Bisexual,White,,,Submit
